,KOD,NAME
543,020724,"ТУШКИ ИНДЕЕК НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
550,020725,"ТУШКИ ИНДЕЕК НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, МОРОЖЕНЫЕ"
557,020726,"ЧАСТИ ТУШЕК ИНДЕЕК И СУБПРОДУКТЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
588,020727,"ЧАСТИ ТУШЕК ИНДЕЕК И СУБПРОДУКТЫ, МОРОЖЕНЫЕ"
619,020741,"МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ УТОК, НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
629,020742,"МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ УТОК, НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, ЗАМОРОЖЕННЫЕ"
636,020743,"СУБПРОДУКТЫ УТОК: ЖИРНАЯ ПЕЧЕНЬ, СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
640,020744,"МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ УТОК ПРОЧИЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
671,020745,"МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ УТОК ПРОЧИЕ, ЗАМОРОЖЕННЫЕ"
705,020751,"МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ ГУСЕЙ НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
712,020752,"МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ ГУСЕЙ НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, ЗАМОРОЖЕННЫЕ"
719,020753,"ЖИРНАЯ ПЕЧЕНЬ ГУСЕЙ, СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
723,020754,"МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ ГУСЕЙ ПРОЧИЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
754,020755,"МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ ГУСЕЙ ПРОЧИЕ, ЗАМОРОЖЕННЫЕ"
788,020760,МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ ЦЕСАРОК
820,020810,"МЯСО И СУБПРОДУКТЫ КРОЛИКОВ ИЛИ ЗАЙЦЕВ СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ МОРОЖЕНЫЕ"
825,020830,"МЯСО ПРИМАТОВ, СВЕЖЕЕ, ОХЛАЖДЕННОЕ ИЛИ МОРОЖЕНОЕ"
828,020840,"МЯСО И СУБПРОДУКТЫ КИТОВ, ДЕЛЬФИНОВ И МОРСКИХ СВИНЕЙ (МЛЕКОПИТАЮЩИХ ОТРЯДА CETACEA); ЛАМАНТИНОВ И ДЮГОНЕЙ (МЛЕКОПИТАЮЩИХ ОТРЯДА SIRENIA), ТЮЛЕНЕЙ, МОРСКИХ ЛЬВОВ И МОРЖЕЙ СВЕЖ., ОХЛАЖД. ИЛИ ЗАМОРОЖ."
835,020850,"МЯСО РЕПТИЛИЙ (ВКЛЮЧАЯ ЗМЕЙ И ЧЕРЕПАХ), СВЕЖЕЕ, ОХЛАЖДЕННОЕ ИЛИ МОРОЖЕНОЕ"
838,020860,"МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ, ВЕРБЛЮДОВ И ПРОЧИХ ЖИВОТНЫХ СЕМЕЙСТВА ВЕРБЛЮДОВЫХ (CAMELIDAE), СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ"
841,020890,"ПРОЧИЕ: МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ  МОРОЖЕНЫЕ"
853,020910,СВИНОЙ ЖИР
860,020990,ПРОЧИЙ ЖИР
864,021011,"СВИНЫЕ ОКРОКА, ЛОПАТКИ И ОТРУБА ИЗ НИХ, НЕОБВАЛЕННЫЕ"
875,021012,СВИНЫЕ ГРУДИНКИ (С ПРОСЛОЙКАМИ) И ОТРУБА ИЗ НИХ
882,021019,ПРОЧИЕ ЧАСТИ ТУШ СВИНЕЙ
903,021020,"МЯСО КРУПНОГО РОГАТОГО СКОТА СОЛЕНОЕ, В РАССОЛЕ, СУШЕНОЕ ИЛИ КОПЧЕНОЕ"
908,021091,МЯСО ПРИМАТОВ ОБВАЛЕННОЕ
911,021092,"МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ, ПИЩЕВАЯ МУКА КИТОВ, ДЕЛЬФИНОВ И МОРСКИХ СВИНЕЙ (МЛЕКОПИТАЮЩИХ ОТРЯДА CETACEA); ЛАМАНТИНОВ И ДЮГОНЕЙ (МЛЕКОПИТАЮЩИХ ОТРЯДА SIRENIA); ТЮЛЕНЕЙ, МОРСКИХ ЛЬВОВ И МОРЖЕЙ"
920,021093,МЯСО РЕПТИЛИЙ (ВКЛЮЧАЯ ЗМЕЙ И ЧЕРЕПАХ)
923,021099,ПРОЧИЕ: МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ : ВКЛЮЧАЯ ПИЩЕВУЮ МУКУ И МУКУ  ГРУБОГО ПОМОЛА
952,030111,"РЫБА ПРЕСНОВОДНАЯ, ДЕКОРАТИВНАЯ, ЖИВАЯ"
955,030119,"ПРОЧАЯ ДЕКОРАТИВНАЯ РЫБА, ЖИВАЯ"
958,030191,"ФОРЕЛЬ ЖИВАЯ (SAIMO TRUTTA, ONCORHYNCHUS MYKKIS, ONCORHYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA, ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE И ONCORHYNCHUS CHRYSOGASTER)"
963,030192,УГОРЬ (ANGUILLA SРР.) ЖИВОЙ
970,030193,"КАРП ЖИВОЙ (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.)"
973,030194,"ТУНЕЦ СИНИЙ, ИЛИ ОБЫКНОВЕННЫЙ, И ТУНЕЦ ТИХООКЕАНСКИЙ ГОЛУБОЙ (THUNNUS THYNNUS, THUNNUS ORIENTALIS) ЖИВОЙ"
978,030195,ЖИВАЯ РЫБА: ТУНЕЦ ЮЖНЫЙ СИНИЙ (THUNNUS MACCOYII)
981,030199,ПРОЧАЯ ЖИВАЯ РЫБА
