,KOD,NAME
5216,18,КАКАО И ПРОДУКТЫ ИЗ НЕГО
5290,19,"ГОТОВЫЕ ПРОДУКТЫ ИЗ ЗЕРНА ЗЛАКОВ, МУКИ, КРАХМАЛА ИЛИ МОЛОКА; МУЧНЫЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ"
5421,20,"ПРОДУКТЫ ПЕРЕРАБОТКИ ОВОЩЕЙ, ФРУКТОВ, ОРЕХОВ ИЛИ ПРОЧИХ ЧАСТЕЙ РАСТЕНИЙ"
6187,21,РАЗНЫЕ ПИЩЕВЫЕ ПРОДУКТЫ
6319,22,АЛКОГОЛЬНЫЕ И БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ И УКСУС
6841,23,ОСТАТКИ И ОТХОДЫ ПИЩЕВОЙ ПРОМЫШЛЕННОСТИ; ГОТОВЫЕ КОРМА ДЛЯ ЖИВОТНЫХ
7004,24,ТАБАК И ПРОМЫШЛЕННЫЕ ЗАМЕНИТЕЛИ ТАБАКА
7087,25,"СОЛЬ; СЕРА; ЗЕМЛИ И КАМЕНЬ; ШТУКАТУРНЫЕ МАТЕРИАЛЫ, ИЗВЕСТЬ И ЦЕМЕНТ"
7345,26,"РУДЫ, ШЛАК И ЗОЛА"
7498,27,"ТОПЛИВО МИНЕРАЛЬНОЕ, НЕФТЬ И ПРОДУКТЫ ИХ ПЕРЕГОНКИ; БИТУМИНОЗНЫЕ ВЕЩЕСТВА; ВОСКИ МИНЕРАЛЬНЫЕ"
7828,28,"ПРОДУКТЫ НЕОРГАНИЧЕСКОЙ ХИМИИ; СОЕДИНЕНИЯ НЕОРГАНИЧЕСКИЕ ИЛИ ОРГАНИЧЕСКИЕ ДРАГОЦЕННЫХ МЕТАЛЛОВ, РЕДКОЗЕМЕЛЬНЫХ МЕТАЛЛОВ, РАДИОАКТИВНЫХ ЭЛЕМЕНТОВ ИЛИ ИЗОТОПОВ"
8590,29,ОРГАНИЧЕСКИЕ ХИМИЧЕСКИЕ СОЕДИНЕНИЯ
10188,30,ФАРМАЦЕВТИЧЕСКАЯ ПРОДУКЦИЯ
10406,31,УДОБРЕНИЯ
10499,32,"ЭКСТРАКТЫ ДУБИЛЬНЫЕ ИЛИ КРАСИЛЬНЫЕ; ТАННИНЫ И ИХ ПРОИЗВОДНЫЕ; КРАСИТЕЛИ, ПИГМЕНТЫ И ПРОЧИЕ КРАСЯЩИЕ ВЕЩЕСТВА; КРАСКИ И ЛАКИ; ШПАТЛЕВКИ И ПРОЧИЕ МАСТИКИ; ПОЛИГРАФИЧЕСКАЯ КРАСКА, ЧЕРНИЛА, ТУШЬ"
10685,33,"ЭФИРНЫЕ МАСЛА И РЕЗИНОИДЫ; ПАРФЮМЕРНЫЕ, КОСМЕТИЧЕСКИЕ ИЛИ ТУАЛЕТНЫЕ СРЕДСТВА"
10821,34,"МЫЛО, ПОВЕРХНОСТНО-АКТИВНЫЕ ОРГАНИЧЕСКИЕ ВЕЩЕСТВА, МОЮЩИЕ СРЕДСТВА, СМАЗОЧНЫЕ МАТЕРИАЛЫ, ИСКУССТВЕННЫЕ И ГОТОВЫЕ ВОСКИ, СОСТАВЫ ДЛЯ ЧИСТКИ ИЛИ ПОЛИРОВКИ, СВЕЧИ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ, ПАСТЫ ДЛЯ ЛЕПКИ, ПЛАСТИЛИН, ""ЗУБОВРАЧЕБНЫЙ ВОСК"" И ЗУБОВРАЧЕБНЫЕ СОСТАВЫ НА ОСНОВЕ ГИПСА"
10934,35,БЕЛКОВЫЕ ВЕЩЕСТВА; МОДИФИЦИРОВАННЫЕ КРАХМАЛЫ; КЛЕИ; ФЕРМЕНТЫ
11024,36,ВЗРЫВЧАТЫЕ ВЕЩЕСТВА; ПИРОТЕХНИЧЕСКИЕ ИЗДЕЛИЯ; СПИЧКИ; ПИРОФОРНЫЕ СПЛАВЫ; НЕКОТОРЫЕ ГОРЮЧИЕ ВЕЩЕСТВА
11089,37,ФОТО- И КИНОТОВАРЫ
11212,38,ПРОЧИЕ ХИМИЧЕСКИЕ ПРОДУКТЫ
11788,39,ПЛАСТМАССЫ И ИЗДЕЛИЯ ИЗ НИХ
12436,40,"КАУЧУК, РЕЗИНА И ИЗДЕЛИЯ ИЗ НИХ"
12740,41,НЕОБРАБОТАННЫЕ ШКУРЫ (КРОМЕ НАТУРАЛЬНОГО МЕХА) И ВЫДЕЛАННАЯ КОЖА
12931,42,"ИЗДЕЛИЯ ИЗ КОЖИ; ШОРНО-СЕДЕЛЬНЫЕ ИЗДЕЛИЯ И УПРЯЖЬ; ДОРОЖНЫЕ ПРИНАДЛЕЖНОСТИ, СУМКИ И АНАЛОГИЧНЫЕ ИМ ТОВАРЫ; ИЗДЕЛИЯ ИЗ ВНУТРЕННИХ ОРГАНОВ ЖИВОТНЫХ (КРОМЕ ШЕЛКООТДЕЛИТЕЛЬНЫХ ЖЕЛЕЗ ШЕЛКОПРЯДА)"
13031,43,НАТУРАЛЬНЫЙ И ИСКУССТВЕННЫЙ МЕХ; ИЗДЕЛИЯ ИЗ НЕГО
13193,44,ДРЕВЕСИНА И ИЗДЕЛИЯ ИЗ НЕЕ; ДРЕВЕСНЫЙ УГОЛЬ
14207,45,ПРОБКА И ИЗДЕЛИЯ ИЗ НЕЕ
14243,46,"ИЗДЕЛИЯ ИЗ СОЛОМЫ, АЛЬФЫ ИЛИ ПРОЧИХ МАТЕРИАЛОВ ДЛЯ ПЛЕТЕНИЯ; КОРЗИНОЧНЫЕ ИЗДЕЛИЯ И ПЛЕТЕНЫЕ ИЗДЕЛИЯ"
14303,47,МАССА ИЗ ДРЕВЕСИНЫ ИЛИ ИЗ ДРУГИХ ВОЛОКНИСТЫХ ЦЕЛЛЮЛОЗНЫХ МАТЕРИАЛОВ; РЕГЕНЕРИРУЕМЫЕ БУМАГА ИЛИ КАРТОН (МАКУЛАТУРА И ОТХОДЫ)
14382,48,"БУМАГА И КАРТОН; ИЗДЕЛИЯ ИЗ БУМАЖНОЙ МАССЫ, БУМАГИ ИЛИ КАРТОНА"
14828,49,"ПЕЧАТНЫЕ КНИГИ, ГАЗЕТЫ, РЕПРОДУКЦИИ И ДРУГИЕ ИЗДЕЛИЯ ПОЛИГРАФИЧЕСКОЙ ПРОМЫШЛЕННОСТИ; РУКОПИСИ, МАШИНОПИСНЫЕ ТЕКСТЫ И ПЛАНЫ"
14911,50,ШЕЛК
14978,51,"ШЕРСТЬ, ТОНКИЙ ИЛИ ГРУБЫЙ ВОЛОС ЖИВОТНЫХ; ПРЯЖА И ТКАНЬ, ИЗ КОНСКОГО ВОЛОСА"
15154,52,ХЛОПОК
15589,53,ПРОЧИЕ РАСТИТЕЛЬНЫЕ ТЕКСТИЛЬНЫЕ ВОЛОКНА; БУМАЖНАЯ ПРЯЖА И ТКАНИ ИЗ БУМАЖНОЙ ПРЯЖИ
15691,54,ГРУППА 54 ХИМИЧЕСКИЕ НИТИ; ПЛОСКИЕ И АНАЛОГИЧНЫЕ НИТИ ИЗ ХИМИЧЕСКИХ ТЕКСТИЛЬНЫХ МАТЕРИАЛОВ
15947,55,ХИМИЧЕСКИЕ ВОЛОКНА
16372,56,"ВАТА, ВОЙЛОК ИЛИ ФЕТР И НЕТКАНЫЕ МАТЕРИАЛЫ; СПЕЦИАЛЬНАЯ ПРЯЖА; БЕЧЕВКИ, ВЕРЕВКИ, КАНАТЫ И ТРОСЫ И ИЗДЕЛИЯ ИЗ НИХ"
16528,57,М2-КОВРЫ И ПРОЧИЕ ТЕКСТИЛЬНЫЕ НАПОЛЬНЫЕ ПОКРЫТИЯ
16666,58,СПЕЦИАЛЬНЫЕ ТКАНИ; ТАФТИНГОВЫЕ ТЕКСТИЛЬНЫЕ МАТЕРИАЛЫ; КРУЖЕВА; ГОБЕЛЕНЫ; ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ; ВЫШИВКИ
16821,59,"ТЕКСТИЛЬНЫЕ МАТЕРИАЛЫ, ПРОПИТАННЫЕ, С ПОКРЫТИЕМ ИЛИ ДУБЛИРОВАННЫЕ; ТЕКСТИЛЬНЫЕ ИЗДЕЛИЯ ТЕХНИЧЕСКОГО НАЗНАЧЕНИЯ"
16943,60,ТРИКОТАЖНЫЕ ПОЛОТНА МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ
17110,61,"ПРЕДМЕТЫ ОДЕЖДЫ И ПРИНАДЛЕЖНОСТИ К ОДЕЖДЕ, ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ"
17549,62,"ПРЕДМЕТЫ ОДЕЖДЫ И ПРИНАДЛЕЖНОСТИ К ОДЕЖДЕ, КРОМЕ ТРИКОТАЖНЫХ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ"
18096,63,"ПРОЧИЕ ГОТОВЫЕ ТЕКСТИЛЬНЫЕ ИЗДЕЛИЯ; НАБОРЫ; ОДЕЖДА И ТЕКСТИЛЬНЫЕ ИЗДЕЛИЯ, БЫВШИЕ В УПОТРЕБЛЕНИИ; ТРЯПЬЕ"
18322,64,"ОБУВЬ, ГЕТРЫ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ; ИХ ДЕТАЛИ"
18511,65,ГОЛОВНЫЕ УБОРЫ И ИХ ЧАСТИ
18558,66,"ЗОНТЫ, СОЛНЦЕЗАЩИТНЫЕ ЗОНТЫ, ТРОСТИ, ТРОСТИ-СИДЕНЬЯ, ХЛЫСТЫ, КНУТЫ ДЛЯ ВЕРХОВОЙ ЕЗДЫ И ИХ ЧАСТИ"
18584,67,ОБРАБОТАННЫЕ ПЕРЬЯ И ПУХ И ИЗДЕЛИЯ ИЗ ПЕРЬЕВ ИЛИ ПУХА; ИСКУССТВЕННЫЕ ЦВЕТЫ; ИЗДЕЛИЯ ИЗ ЧЕЛОВЕЧЕСКОГО ВОЛОСА
18613,68,"ИЗДЕЛИЯ ИЗ КАМНЯ, ГИПСА, ЦЕМЕНТА, АСБЕСТА, СЛЮДЫ ИЛИ АНАЛОГИЧНЫХ МАТЕРИАЛОВ"
18837,69,КЕРАМИЧЕСКИЕ ИЗДЕЛИЯ
18997,70,СТЕКЛО И ИЗДЕЛИЯ ИЗ НЕГО
19435,71,"ЖЕМЧУГ ПРИРОДНЫЙ ИЛИ КУЛЬТИВИРОВАННЫЙ, ДРАГОЦЕННЫЕ ИЛИ ПОЛУДРАГОЦЕННЫЕ КАМНИ, ДРАГОЦЕННЫЕ МЕТАЛЛЫ, МЕТАЛЛЫ, ПЛАКИРОВАННЫЕ ДРАГОЦЕННЫМИ МЕТАЛЛАМИ, И ИЗДЕЛИЯ ИЗ НИХ; БИЖУТЕРИЯ; МОНЕТЫ"
19673,72,ЧЕРНЫЕ МЕТАЛЛЫ
20585,73,ИЗДЕЛИЯ ИЗ ЧЕРНЫХ МЕТАЛЛОВ
21363,74,МЕДЬ И ИЗДЕЛИЯ ИЗ НЕЕ
21556,75,НИКЕЛЬ И ИЗДЕЛИЯ ИЗ НЕГО
21624,76,АЛЮМИНИЙ И ИЗДЕЛИЯ ИЗ НЕГО
21825,78,СВИНЕЦ И ИЗДЕЛИЯ ИЗ НЕГО
21859,79,ЦИНК И ИЗДЕЛИЯ ИЗ НЕГО
21898,80,ОЛОВО И ИЗДЕЛИЯ ИЗ НЕГО
21920,81,ПРОЧИЕ НЕДРАГОЦЕННЫЕ МЕТАЛЛЫ; МЕТАЛЛОКЕРАМИКА; ИЗДЕЛИЯ ИЗ НИХ
22193,82,"ИНСТРУМЕНТЫ, ПРИСПОСОБЛЕНИЯ, НОЖЕВЫЕ ИЗДЕЛИЯ, ЛОЖКИ И ВИЛКИ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ; ИХ ЧАСТИ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ"
22476,83,ПРОЧИЕ ИЗДЕЛИЯ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ
22617,84,"РЕАКТОРЫ ЯДЕРНЫЕ, КОТЛЫ, ОБОРУДОВАНИЕ И МЕХАНИЧЕСКИЕ УСТРОЙСТВА; ИХ ЧАСТИ"
25625,85,"ЭЛЕКТРИЧЕСКИЕ МАШИНЫ И ОБОРУДОВАНИЕ, ИХ ЧАСТИ; ЗВУКОЗАПИСЫВАЮЩАЯ И ЗВУКОВОСПРОИЗВОДЯЩАЯ АППАРАТУРА, АППАРАТУРА ДЛЯ ЗАПИСИ И ВОСПРОИЗВЕДЕНИЯ ТЕЛЕВИЗИОННОГО ИЗОБРАЖЕНИЯ И ЗВУКА, ИХ ЧАСТИ И ПРИНАДЛЕЖНОСТИ"
27859,86,"ЖЕЛЕЗНОДОРОЖНЫЕ ЛОКОМОТИВЫ ИЛИ МОТОРНЫЕ ВАГОНЫ ТРАМВАЯ, ПОДВИЖНОЙ СОСТАВ И ИХ ЧАСТИ; ПУТЕВОЕ ОБОРУДОВАНИЕ И УСТРОЙСТВА ДЛЯ ЖЕЛЕЗНЫХ ДОРОГ ИЛИ ТРАМВАЙНЫХ ПУТЕЙ И ИХ ЧАСТИ; МЕХАНИЧЕСКОЕ (ВКЛЮЧАЯ ЭЛЕКТРОМЕХАНИЧЕСКОЕ) СИГНАЛЬНОЕ ОБОРУДОВАНИЕ ВСЕХ ВИДОВ"
27966,87,"СРЕДСТВА НАЗЕМНОГО ТРАНСПОРТА, КРОМЕ ЖЕЛЕЗНОДОРОЖНОГО ИЛИ ТРАМВАЙНОГО ПОДВИЖНОГО СОСТАВА, И ИХ ЧАСТИ И ПРИНАДЛЕЖНОСТИ"
29176,88,"ЛЕТАТЕЛЬНЫЕ АППАРАТЫ, КОСМИЧЕСКИЕ АППАРАТЫ, И ИХ ЧАСТИ"
29370,89,"ШТ-СУДА, ЛОДКИ И ПЛАВУЧИЕ КОНСТРУКЦИИ"
29509,90,"ИНСТРУМЕНТЫ И АППАРАТЫ ОПТИЧЕСКИЕ, ФОТОГРАФИЧЕСКИЕ, КИНЕМАТОГРАФИЧЕСКИЕ, ИЗМЕРИТЕЛЬНЫЕ, КОНТРОЛЬНЫЕ, ПРЕЦИЗИОННЫЕ, МЕДИЦИНСКИЕ ИЛИ ХИРУРГИЧЕСКИЕ; ИХ ЧАСТИ И ПРИНАДЛЕЖНОСТИ"
30222,91,ЧАСЫ ВСЕХ ВИДОВ И ИХ ЧАСТИ
30394,92,ИНСТРУМЕНТЫ МУЗЫКАЛЬНЫЕ; ИХ ЧАСТИ И ПРИНАДЛЕЖНОСТИ
30480,93,ОРУЖИЕ И БОЕПРИПАСЫ; ИХ ЧАСТИ И ПРИНАДЛЕЖНОСТИ
30552,94,"МЕБЕЛЬ; ПОСТЕЛЬНЫЕ ПРИНАДЛЕЖНОСТИ, МАТРАЦЫ, ОСНОВЫ МАТРАЦНЫЕ, ДИВАННЫЕ ПОДУШКИ И АНАЛОГИЧНЫЕ НАБИВНЫЕ ПРИНАДЛЕЖНОСТИ МЕБЕЛИ; ЛАМПЫ И ОСВЕТИТЕЛЬНОЕ ОБОРУДОВАНИЕ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ; СВЕТОВЫЕ ВЫВЕСКИ, СВЕТОВЫЕ ТАБЛИЧКИ С ИМЕНЕМ ИЛИ НАЗВАНИЕМ, ИЛИ АДРЕСОМ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ; СБОРНЫЕ СТРОИТЕЛЬНЫЕ КОНСТРУКЦИИ"
30999,95,"ИГРУШКИ, ИГРЫ И СПОРТИВНЫЙ ИНВЕНТАРЬ; ИХ ЧАСТИ И ПРИНАДЛЕЖНОСТИ"
31196,96,РАЗНЫЕ ГОТОВЫЕ ИЗДЕЛИЯ
31424,97,"ПРОИЗВЕДЕНИЯ ИСКУССТВА, ПРЕДМЕТЫ КОЛЛЕКЦИОНИРОВАНИЯ И АНТИКВАРИАТ"
