,KOD,NAME
1838,0306,"РАКООБРАЗНЫЕ, В ПАНЦИРЕ ИЛИ БЕЗ ПАНЦИРЯ, ЖИВЫЕ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ, МОРОЖЕНЫЕ, СУШЕНЫЕ, СОЛЕНЫЕ ИЛИ В РАССОЛЕ; РАКООБРАЗНЫЕ КОПЧЕНЫЕ, В ПАНЦИРЕ ИЛИ БЕЗ ПАНЦИРЯ, НЕ ПОДВЕРГНУТЫЕ ИЛИ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ ДО ИЛИ В ПРОЦЕССЕ КОПЧЕНИЯ; РАКООБРАЗНЫЕ В ПАНЦИРЕ, СВАРЕННЫЕ НА ПАРУ ИЛИ В КИПЯЩЕЙ ВОДЕ, ОХЛАЖДЕННЫЕ ИЛИ НЕОХЛАЖДЕННЫЕ, МОРОЖЕНЫЕ, СУШЕНЫЕ, СОЛЕНЫЕ ИЛИ В РАССОЛЕ; МУКА ТОНКОГО И ГРУБОГО ПОМОЛА И ГРАНУЛЫ ИЗ РАКООБРАЗНЫХ, ПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
1974,0307,"МОЛЛЮСКИ, В РАКОВИНЕ ИЛИ БЕЗ РАКОВИНЫ, ЖИВЫЕ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ, МОРОЖЕНЫЕ, СУШЕНЫЕ, СОЛЕНЫЕ ИЛИ В РАССОЛЕ; МОЛЛЮСКИ КОПЧЕНЫЕ, В РАКОВИНЕ ИЛИ БЕЗ РАКОВИНЫ, НЕ ПОДВЕРГНУТЫЕ ИЛИ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ ДО ИЛИ В ПРОЦЕССЕ КОПЧЕНИЯ; МУКА ТОНКОГО И ГРУБОГО ПОМОЛА И ГРАНУЛЫ ИЗ МОЛЛЮСКОВ, ПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
2171,0308,"ВОДНЫЕ БЕСПОЗВОНОЧНЫЕ, КРОМЕ РАКООБРАЗНЫХ И МОЛЛЮСКОВ, ЖИВЫЕ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ, МОРОЖЕНЫЕ, СУШЕНЫЕ, СОЛЕНЫЕ ИЛИ В РАССОЛЕ; ВОДНЫЕ БЕСПОЗВОНОЧНЫЕ, КРОМЕ РАКООБРАЗНЫХ И МОЛЛЮСКОВ, КОПЧЕНЫЕ, НЕ ПОДВЕРГНУТЫЕ ИЛИ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ ДО ИЛИ В ПРОЦЕССЕ КОПЧЕНИЯ; МУКА ТОНКОГО И ГРУБОГО ПОМОЛА И ГРАНУЛЫ ИЗ ВОДНЫХ БЕСПОЗВОНОЧНЫХ, КРОМЕ РАКООБРАЗНЫХ И МОЛЛЮСКОВ, ПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
2222,0309,"МУКА ТОНКОГО И ГРУБОГО ПОМОЛА И ГРАНУЛЫ ИЗ РЫБЫ, РАКООБРАЗНЫХ, МОЛЛЮСКОВ И ПРОЧИХ ВОДНЫХ БЕСПОЗВОНОЧНЫХ, ПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
2235,0401,"МОЛОКО И СЛИВКИ, НЕСГУЩЕННЫЕ И БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
2270,0402,"МОЛОКО И СЛИВКИ, СГУЩЕННЫЕ ИЛИ С ДОБАВЛЕНИЕМ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
2324,0403,"ПАХТА, СВЕРНУВШИЕСЯ МОЛОКО И СЛИВКИ, ЙОГУРТ, КЕФИР И ПРОЧИЕ ФЕРМЕНТИРОВАННЫЕ ИЛИ СКВАШЕННЫЕ МОЛОКО И СЛИВКИ, СГУЩЕННЫЕ ИЛИ НЕСГУЩЕННЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ, СО ВКУСО-АРОМАТИЧЕСКИМИ ДОБАВКАМИ ИЛИ БЕЗ НИХ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ ФРУКТОВ, ОРЕХОВ ИЛИ КАКАО"
2419,0404,"МОЛОЧНАЯ СЫВОРОТКА, СГУЩЕННАЯ ИЛИ НЕСГУЩЕННАЯ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ; ПРОДУКТЫ ИЗ НАТУРАЛЬНЫХ КОМПОНЕНТОВ МОЛОКА, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ"
2484,0405,"СЛИВОЧНОЕ МАСЛО И ПРОЧИЕ ЖИРЫ И МАСЛА, ИЗГОТОВЛЕННЫЕ ИЗ МОЛОКА; МОЛОЧНЫЕ ПАСТЫ"
2508,0406,СЫРЫ И ТВОРОГ
2604,0407,"ЯЙЦА ПТИЦ, В СКОРЛУПЕ, СВЕЖИЕ, КОНСЕРВИРОВАННЫЕ ИЛИ ВАРЕНЫЕ"
2628,0408,"ЯЙЦА ПТИЦ БЕЗ СКОРЛУПЫ И ЯИЧНЫЕ ЖЕЛТКИ, СВЕЖИЕ, СУШЕНЫЕ, СВАРЕННЫЕ НА ПАРУ ИЛИ В КИПЯЩЕЙ ВОДЕ, ФОРМОВАННЫЕ, ЗАМОРОЖЕННЫЕ ИЛИ КОНСЕРВИРОВАННЫЕ ДРУГИМ СПОСОБОМ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
2651,0409,МЕД НАТУРАЛЬНЫЙ
2655,0410,"ПРОДУКТЫ ПИЩЕВЫЕ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ"
2666,0501,"ЧЕЛОВЕЧЕСКИЙ ВОЛОС НЕОБРАБОТАННЫЙ, МЫТЫЙ ИЛИ НЕМЫТЫЙ, ОЧИЩЕННЫЙ ИЛИ НЕОЧИЩЕННЫЙ; ЕГО ОТХОДЫ"
2670,0502,"ЩЕТИНА СВИНАЯ ИЛИ КАБАНЬЯ; БАРСУЧИЙ ИЛИ ПРОЧИЙ ВОЛОС, ИСПОЛЬЗУЕМЫЙ ДЛЯ ПРОИЗВОДСТВА ЩЕТОЧНЫХ ИЗДЕЛИЙ; ИХ ОТХОДЫ"
2677,0504,"КИШКИ, ПУЗЫРИ И ЖЕЛУДКИ ЖИВОТНЫХ (КРОМЕ РЫБЬИХ), ЦЕЛЫЕ ИЛИ В КУСКАХ, СВЕЖИЕ , ОХЛАЖДЕННЫЕ, МОРОЖЕНЫЕ, СОЛЕНЫЕ,В РАССОЛЕ,СУШЕННЫЕ ИЛИ КОПЧЕННЫЕ"
2681,0505,"ШКУРКИ И ПРОЧИЕ ЧАСТИ ПТИЦ С ПЕРЬЯМИ ИЛИ ПУХОМ, ПЕРЬЯ И ЧАСТИ ПЕРЬЕВ (С ПОДРЕЗАННЫМИ ИЛИ НЕПОДРЕЗАННЫМИ КРАЯМИ) И ПУХ, ОЧИЩЕННЫЕ, ДЕЗИНФИЦИРОВАННЫЕ ИЛИ ОБРАБОТАННЫЕ ДЛЯ ХРАНЕНИЯ, НО НЕ ПОДВЕРГНУТЫЕ ДАЛЬНЕЙШЕЙ ОБРАБОТКЕ; ПОРОШОК И ОТХОДЫ ПЕРЬЕВ ИЛИ ИХ ЧАСТЕЙ"
2690,0506,"КОСТИ И РОГОВОЙ СТЕРЖЕНЬ, НЕОБРАБОТАННЫЕ, ОБЕЗЖИРЕННЫЕ, ПОДВЕРГНУТЫЕ ПЕРВИЧНОЙ ОБРАБОТКЕ (БЕЗ ПРИДАНИЯ ФОРМЫ), ОБРАБОТАННЫЕ КИСЛОТОЙ ИЛИ ДЕЖЕЛАТИНИЗИРОВАННЫЕ; ПОРОШОК И ОТХОДЫ ЭТИХ ПРОДУКТОВ"
2697,0507,"СЛОНОВАЯ КОСТЬ, ПАНЦИРИ ЧЕРЕПАХ, УС КИТОВЫЙ И ЩЕТИНА ИЗ КИТОВОГО УСА, РОГА, ОЛЕНЬИ РОГА, КОПЫТА, НОГТИ, КОГТИ И КЛЮВЫ, НЕОБРАБОТАННЫЕ ИЛИ ПОДВЕРГНУТЫЕ ПЕРВИЧНОЙ ОБРАБОТКЕ, НО БЕЗ ПРИДАНИЯ ФОРМЫ; ПОРОШОК И ОТХОДЫ ЭТИХ ПРОДУКТОВ"
2704,0508,"КОРАЛЛЫ И АНАЛОГ.МАТ-ЛЫ,НЕОБРАБОТ.ИЛИ ПЕРВИЧ.ОБРАБОТ.; РАКОВИНЫ,   ПАНЦИРИ МОЛЛЮСКОВ..., НЕОБРАБОТАН.ИЛИ ПОДВЕРГНУТ.ПЕРВИЧ.ОБРАБОТКЕ, БЕЗ   ПРИДАНИЯ ФОРМЫ;ПОРОШОК И ОТХОДЫ ЭТИХ ПРОДУКТОВ"
2708,0510,"АМБРА СЕРАЯ, СТРУЯ БОБРОВАЯ, ЦИВЕТТА И МУСКУС; ШПАНКИ; ЖЕЛЧЬ, В ТОМ ЧИСЛЕ СУХАЯ; ЖЕЛЕЗЫ И ПРОЧИЕ ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, ИСПОЛЬЗУЕМЫЕ В ПРОИЗВОДСТВЕ ФАРМАЦЕВТИЧЕСКИХ ПРОДУКТОВ"
2712,0511,"ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ; ПАВШИЕ ЖИВОТНЫЕ ГРУППЫ 01 ИЛИ 03, НЕПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
2744,0601,"ШТ-ЛУКОВИЦЫ, КЛУБНИ, КЛУБНЕВИДНЫЕ КОРНИ, КЛУБНЕЛУКОВИЦЫ, КОРНЕВИЩА, ВКЛЮЧАЯ РАЗВЕТВЛЕННЫЕ, НАХОДЯЩИЕСЯ В СОСТОЯНИИ ВЕГЕТАТИВНОГО ПОКОЯ, ВЕГЕТАЦИИ ИЛИ ЦВЕТЕНИЯ; РАСТЕНИЯ И КОРНИ ЦИКОРИЯ, КРОМЕ КОРНЕЙ ТОВАРНОЙ ПОЗИЦИИ 1212"
2763,0602,"ПРОЧИЕ ЖИВЫЕ РАСТЕНИЯ (ВКЛЮЧАЯ ИХ КОРНИ), ЧЕРЕНКИ И ОТВОДКИ; МИЦЕЛИЙ ГРИБА"
2809,0603,"СРЕЗАННЫЕ ЦВЕТЫ И БУТОНЫ, ПРИГОДНЫЕ ДЛЯ СОСТАВЛЕНИЯ БУКЕТОВ ИЛИ ДЛЯ ДЕКОРАТИВНЫХ ЦЕЛЕЙ, СВЕЖИЕ, ЗАСУШЕННЫЕ, ОКРАШЕННЫЕ, ОТБЕЛЕННЫЕ, ПРОПИТАННЫЕ ИЛИ ПОДГОТОВЛЕННЫЕ ДРУГИМИ СПОСОБАМИ"
2835,0604,"ЛИСТЬЯ, ВЕТКИ И ДРУГИЕ ЧАСТИ РАСТЕНИЙ БЕЗ ЦВЕТКОВ ИЛИ БУТОНОВ, ТРАВЫ, МХИ И ЛИШАЙНИКИ, ПРИГОДНЫЕ ДЛЯ СОСТАВЛЕНИЯ БУКЕТОВ ИЛИ ДЛЯ ДЕКОРАТИВНЫХ ЦЕЛЕЙ, СВЕЖИЕ, ЗАСУШЕННЫЕ, ОКРАШЕННЫЕ, ОТБЕЛЕННЫЕ, ПРОПИТАННЫЕ ИЛИ ПОДГОТОВЛЕННЫЕ ДРУГИМИ СПОСОБАМИ"
2857,0701,КАРТОФЕЛЬ СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ
2868,0702,ТОМАТЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
2879,0703,"ЛУК РЕПЧАТЫЙ, ЛУК ШАЛОТ, ЧЕСНОК, ЛУК-ПОРЕЙ И ПРОЧИЕ ЛУКОВИЧНЫЕ ОВОЩИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
2893,0704,"КАПУСТА КОЧАННАЯ, КАПУСТА ЦВЕТНАЯ, КОЛЬРАБИ, КАПУСТА ЛИСТОВАЯ И АНАЛОГИЧНЫЕ СЪЕДОБНЫЕ ОВОЩИ ИЗ РОДА BRASSICA, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
2908,0705,"САЛАТ-ЛАТУК (LACTUCA SATIVA) И ЦИКОРИЙ (CICHORIUM SРР.), СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
2921,0706,"МОРКОВЬ, РЕПА, СВЕКЛА СТОЛОВАЯ, КОЗЛОБОРОДНИК, СЕЛЬДЕРЕЙ КОРНЕВОЙ, РЕДИС И ПРОЧИЕ АНАЛОГИЧНЫЕ СЪЕДОБНЫЕ КОРНЕПЛОДЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
2934,0707,"ОГУРЦЫ И КОРНИШОНЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
2946,0708,"БОБОВЫЕ ОВОЩИ, ЛУЩЕНЫЕ ИЛИ НЕЛУЩЕНЫЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
2956,0709,"ОВОЩИ ПРОЧИЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
3034,0710,ОВОЩИ (СЫРЫЕ ИЛИ СВАРЕННЫЕ В ВОДЕ ИЛИ НА ПАРУ) ЗАМОРОЖЕННЫЕ
3075,0711,"ОВОЩИ КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ (НАПРИМЕР, ДИОКСИДОМ СЕРЫ, В РАССОЛЕ, СЕРНИСТОЙ ВОДЕ ИЛИ В ДРУГОМ ВРЕМЕННО КОНСЕРВИРУЮЩЕМ РАСТВОРЕ), НО В ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ НЕПОСРЕДСТВЕННОГО УПОТРЕБЛЕНИЯ В ПИЩУ"
3103,0712,"ОВОЩИ СУШЕНЫЕ, ЦЕЛЫЕ, НАРЕЗАННЫЕ КУСКАМИ, ЛОМТИКАМИ, ИЗМЕЛЬЧЕННЫЕ ИЛИ В ВИДЕ ПОРОШКА, НО НЕ ПОДВЕРГНУТЫЕ ДАЛЬНЕЙШЕЙ ОБРАБОТКЕ"
3135,0713,"ОВОЩИ БОБОВЫЕ СУШЕНЫЕ, ЛУЩЕНЫЕ, ОЧИЩЕННЫЕ ОТ СЕМЕННОЙ КОЖУРЫ ИЛИ НЕОЧИЩЕННЫЕ, КОЛОТЫЕ ИЛИ НЕКОЛОТЫЕ"
3182,0714,"МАНИОК, МАРАНТА, САЛЕП, ЗЕМЛЯНАЯ ГРУША, ИЛИ ТОПИНАМБУР, СЛАДКИЙ КАРТОФЕЛЬ, ИЛИ БАТАТ, И АНАЛОГИЧНЫЕ КОРНЕПЛОДЫ И КЛУБНЕПЛОДЫ С ВЫСОКИМ СОДЕРЖАНИЕМ КРАХМАЛА ИЛИ ИНУЛИНА, СВЕЖИЕ, ОХЛАЖДЕННЫЕ, ЗАМОРОЖЕННЫЕ ИЛИ СУШЕНЫЕ, ЦЕЛЫЕ ИЛИ НАРЕЗАННЫЕ ЛОМТИКАМИ ИЛИ В ВИДЕ ГРАНУЛ; СЕРДЦЕВИНА САГОВОЙ ПАЛЬМЫ"
3208,0801,"ОРЕХИ КОКОСОВЫЕ, ОРЕХИ БРАЗИЛЬСКИЕ И ОРЕХИ КЕШЬЮ, СВЕЖИЕ ИЛИ СУШЕНЫЕ, ОЧИЩЕННЫЕ ОТ СКОРЛУПЫ ИЛИ НЕ ОЧИЩЕННЫЕ, С КОЖУРОЙ ИЛИ БЕЗ КОЖУРЫ"
3230,0802,"ПРОЧИЕ ОРЕХИ, СВЕЖИЕ ИЛИ СУШЕНЫЕ, ОЧИЩЕННЫЕ ОТ СКОРЛУПЫ ИЛИ НЕОЧИЩЕННЫЕ, С КОЖУРОЙ ИЛИ БЕЗ КОЖУРЫ"
3303,0803,"БАНАНЫ, ВКЛЮЧАЯ ПЛАНТАЙНЫ, СВЕЖИЕ ИЛИ СУШЕНЫЕ"
3314,0804,"ФИНИКИ, ИНЖИР, АНАНАСЫ, АВОКАДО, ГУАЙЯВА, МАНГО И МАНГОСТАН, ИЛИ ГАРЦИНИЯ, СВЕЖИЕ ИЛИ СУШЕНЫЕ"
3334,0805,"ЦИТРУСОВЫЕ ПЛОДЫ, СВЕЖИЕ ИЛИ СУШЕНЫЕ"
3360,0806,"ВИНОГРАД, СВЕЖИЙ ИЛИ СУШЕНЫЙ"
3373,0807,"ДЫНИ (ВКЛЮЧАЯ АРБУЗЫ) И ПАПАЙЯ, СВЕЖИЕ"
3383,0808,"ЯБЛОКИ, ГРУШИ И АЙВА, СВЕЖИЕ"
3403,0809,"АБРИКОСЫ, ВИШНЯ И ЧЕРЕШНЯ, ПЕРСИКИ (ВКЛЮЧАЯ НЕКТАРИНЫ), СЛИВЫ И ТЕРН, СВЕЖИЕ"
3423,0810,"ПРОЧИЕ ФРУКТЫ, СВЕЖИЕ"
3462,0811,"ФРУКТЫ И ОРЕХИ, ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В КИПЯЩЕЙ ВОДЕ ИЛИ НА ПАРУ, ЗАМОРОЖЕННЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
3509,0812,"ФРУКТЫ И ОРЕХИ, КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ (НАПРИМЕР, ДИОКСИДОМ СЕРЫ, В РАССОЛЕ, СЕРНИСТОЙ ВОДЕ ИЛИ В ДРУГОМ ВРЕМЕННО КОНСЕРВИРУЮЩЕМ РАСТВОРЕ), НО В ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ НЕПОСРЕДСТВЕННОГО УПОТРЕБЛЕНИЯ В ПИЩУ"
3524,0813,"ФРУКТЫ СУШЕНЫЕ, КРОМЕ ПЛОДОВ ТОВАРНЫХ ПОЗИЦИЙ 0801 - 0806; СМЕСИ ОРЕХОВ ИЛИ СУШЕНЫХ ПЛОДОВ ДАННОЙ ГРУППЫ"
3560,0814,"КОЖУРА ЦИТРУСОВЫХ ПЛОДОВ ИЛИ КОРКИ ДЫНЬ (ВКЛЮЧАЯ КОРКИ АРБУЗОВ), СВЕЖИЕ,  МОРОЖ.,СУШЕНЫЕ ИЛИ КОНСЕРВИР. ДЛЯ КРАТК. ХРАН. В РАССОЛЕ, СЕРНИСТОЙ ВОДЕ  ИЛИ В ДР.ВРЕМЕННО КОНСЕРВИРУЮЩЕМ РАСТВОРЕ"
3565,0901,"КОФЕ, ЖАРЕНЫЙ ИЛИ НЕЖАРЕНЫЙ, С КОФЕИНОМ ИЛИ БЕЗ КОФЕИНА; КОФЕЙНАЯ ШЕЛУХА И ОБОЛОЧКИ ЗЕРЕН КОФЕ; ЗАМЕНИТЕЛИ КОФЕ, СОДЕРЖАЩИЕ КОФЕ В ЛЮБОЙ ПРОПОРЦИИ"
3593,0902,ЧАЙ СО ВКУСО-АРОМАТИЧЕСКИМИ ДОБАВКАМИ ИЛИ БЕЗ НИХ
3608,0903,МАТЕ (ПАРАГВАЙСКИЙ ЧАЙ)
3612,0904,"ПЕРЕЦ РОДА PIPER; ПЛОДЫ РОДА CAPSICUM ИЛИ РОДА PIMENTA, СУШЕНЫЕ ИЛИ  ДРОБЛЕНЫЕ,  ИЛИ МОЛОТЫЕ"
3627,0905,ВАНИЛЬ
3634,0906,КОРИЦА И ЦВЕТКИ КОРИЧНОГО ДЕРЕВА
3644,0907,"ГВОЗДИКА (ЦЕЛЫЕ ПЛОДЫ, ЦВЕТЫ И ЦВЕТОНОЖКИ)"
3651,0908,"МУСКАТНЫЙ ОРЕХ, МАЦИС И КАРДАМОН"
3670,0909,"СЕМЕНА АНИСА, БАДЬЯНА, ФЕНХЕЛЯ, КОРИАНДРА, ТМИНА РИМСКОГО, ИЛИ ТМИНА ВОЛОШСКОГО, ИЛИ ТМИНА; ЯГОДЫ МОЖЖЕВЕЛЬНИКА"
3691,0910,"ИМБИРЬ, ШАФРАН, ТУРМЕРИК (КУРКУМА), ТИМЬЯН, ИЛИ ЧАБРЕЦ, ЛАВРОВЫЙ ЛИСТ, КАРРИ И ПРОЧИЕ ПРЯНОСТИ"
3729,1001,ПШЕНИЦА И МЕСЛИН
3746,1002,РОЖЬ
3753,1003,ЯЧМЕНЬ
3760,1004,ОВЕС
3767,1005,КУКУРУЗА
3781,1006,РИС
3856,1007,СОРГО ЗЕРНОВОЕ
3865,1008,"ГРЕЧИХА, ПРОСО И СЕМЕНА КАНАРЕЕЧНИКА; ПРОЧИЕ ЗЛАКИ"
3892,1101,МУКА ПШЕНИЧНАЯ ИЛИ ПШЕНИЧНО-РЖАНАЯ
3904,1102,"МУКА ИЗ ЗЕРНА ПРОЧИХ ЗЛАКОВ, КРОМЕ ПШЕНИЧНОЙ ИЛИ ПШЕНИЧНО-РЖАНОЙ"
3922,1103,"КРУПА, МУКА ГРУБОГО ПОМОЛА И ГРАНУЛЫ ИЗ ЗЕРНА ЗЛАКОВ"
3956,1104,"ЗЕРНО ЗЛАКОВ, ОБРАБОТАННОЕ ДРУГИМИ СПОСОБАМИ (НАПРИМЕР, ШЕЛУШЕНОЕ, ПЛЮЩЕНОЕ, ПЕРЕРАБОТАННОЕ В ХЛОПЬЯ, ОБРУШЕННОЕ, В ВИДЕ СЕЧКИ ИЛИ ДРОБЛЕНОЕ), КРОМЕ РИСА ТОВАРНОЙ ПОЗИЦИИ 1006; ЗАРОДЫШИ ЗЕРНА ЗЛАКОВ, ЦЕЛЫЕ, ПЛЮЩЕНЫЕ, В ВИДЕ ХЛОПЬЕВ ИЛИ МОЛОТЫЕ"
